Type;Cote;Disponibilité;Fond;Titre;Auteur;Date;Édition;Tome;Thème général;Thème particulier;Résumé;Recollage
Livre;914 17 LED;Empruntable;Autre;LE MANS ET SES ENVIRONS;LEDRU Ambroise;1905;1;;Géographie et Histoire;L'Europe: géographie et voyages. Sarthe;"Cet opuscule propose un itinéraire pour découvrir la ville du Mans : la cathédrale, la préfecture, le palais de justice, la caserne Chanzy, le théâtre, le jardin des Jacobins, les fontaines, l'Ancienne Cité, etc.
La découverte du département de la Sarthe se poursuit par des excursions à l’Epau, Rouillon, Mamers, Solesmes, la Flèche, Montmirail, etc.";
Livre;944 044 NAV;Empruntable;Autre;Le Comité de Salut public;NAVARRE Marcel;1909;1;;Géographie et Histoire;Terreur 1793-1794;"Fascicule de la collection « questions historiques »
La formation du Comité en 1793 - La prépondérance de Danton puis de Robespierre - Après le 9 thermidor.";
Livre;704 948 PAS;Sur Place;Autre;INSTITUTIONS DE L’ART CHRÉTIEN POUR L’INTELLIGENCE ET L’EXÉCUTION DES SUJETS RELIGIEUX;PASCAL J.-B.-E.;1856;1;;Arts;Art chrétien Sujets religieux;""" Documents puisés aux sources de l’Écriture Sainte, de la Tradition catholique, des légendes et des attributs. 
Sous le point de vue de la sculpture, de la peinture et de la gravure avec un traité archéologique et pratique sur l'architecture, l'ornementation et l'ameublement des églises par l'abbé J.-B.-E. Pascal.""";
Livre;944 021 BAR;Sur Place;Autre;HOMMAGES D’ALPHONSE COMTE DE POITIERS;BARDONNET A.;1872;1;;Géographie et Histoire;Capétiens 987-1328;"Document sur l'état du domaine royal en Poitou tel qu'il fut reconstitué par les agents d'Alphonse de Poitiers et de son frère Louis IX de 1224 à 1261. 
Publication en latin d'après un manuscrit des Archives nationales.";
Livre;944 6 INC;Empruntable;Autre;Une Incursion anglaise en Poitou EN NOVEMBRE 1412;Collectif;1934;1;;Géographie et Histoire;Histoire Ouest de la France;"Société des Archives Historiques du Poitou - Bulletin n° 48 
Le Poitou en 1412 - Les États généraux de Poitiers en 1424 et 1425 - Procès entre l'abbaye de l’Absie et l'évêque de Maillezais - La confrérie de la Visitation à Lusignan - Lettre de François de Rochechouart à Louis XII - La paroisse de Saint-Hilaire-sur-l’Autize en 1541 - Le château de Montfaucon en 1562 - L'expulsion des huguenots de Niort en 1586...";
Livre;944 044 CHA;Empruntable;Autre;PAYSANS ET OUVRIERS HÉROS et MARTYRS;CHABOT Comte de;1894;1;;Géographie et Histoire;Terreur 1793-1794;Récits relevant de la tradition écrite et orale, rapportés par des témoins ou des anciens combattants des guerres de Vendée par Auguste, comte de Chabot : Guillou et sa fiancée - Lapierre - Puaud et la prise de Pouzauges - Jamin le chouan - Marie Papin, martyre - Les Vandangeon - Jambe d'Argent - Jeanne Robin de Courlay - Le capitaine Devaud - Pierre Bibard, de la Tessoualle - Soeur Agnès - etc.;
Livre;FL 944 61 POI;Empruntable;Local;NOTRE VENDÉE;POIRIER A. D. Abbé;1951;3;;Géographie et Histoire;Histoire Vendée;"Réimpression de l'édition originale de 1924
Résumé à l'usage des enfants.
De façon pédagogique, le livret restitue l'histoire du Bas-Poitou et de la Vendée des origines jusqu'au début du XXe siècle. Il permet de découvrir la géographie physique - sol, eau, climat - la géographie économique - agriculture, industrie, commerce - la géographie humaine - population, administration, villes et campagnes.";
Livre;944 044 GAI;Sur Place;Autre;Les CHEVALIERS « EN SABOTS »;GAIGNET N.;1933;1;;Géographie et Histoire;Terreur 1793-1794;"Histoire populaire des guerres de Vendée 1793-1796 
« L'auteur a voulu écrire une histoire simple de cette épopée à peine croyable qui ensanglanta l'Ouest de la France au début de la Révolution, et fit voir au monde étonné ce que peuvent de simples paysans, « les Chevaliers en sabots », résolus à défendre jusqu'au bout la liberté de leur conscience et de leur culte, les droits de leur Eglise et de leur Dieu. »";
Livre;FL 944 6 LAB;Empruntable;Local;HISTOIRE DU POITOU, DU LIMOUSIN et des PAYS CHARENTAIS;LABANDE Edmond-René;1976;1;;Géographie et Histoire;Histoire Ouest de la France;"Collection « Univers de la France et des pays francophones » 
Historique des régions, Vendée, Aunis, Saintonge, Angoumois : la préhistoire - la romanisation - la Paix de Dieu - les temps féodaux - l'empire Plantagenet - les arts médiévaux - les ducs d'Aquitaine - la guerre de Cent ans - la Renaissance - les guerres de Religion - l'ordre monarchique - la société du XVIe au XVIIIe siècle - la Révolution - la vie politique, l'économie, la religion au XIXe siècle. 
Ouvrage illustré de nombreuses cartes, gravures, photographies";
Livre;944 06 BON;Empruntable;Autre;AUTOUR DU DRAPEAU;BONNEFOY Marc capitaine;????;?;;Géographie et Histoire;Restauration 1815-1848;"Récits militaires publié au XIXe siècle par le capitaine Marc Bonnefoy (1840-1896)
Le combat de Sidi-Brahim - Devant Sébastopol - Vive la France - Au pays des Kroumirs - Les feux de la Saint-Jean - Le sergent Robert - De sablet à Bach-Ninh - Amour et Patrie.";
Livre;728 81 SAL;Empruntable;Autre;DICTIONNAIRE des Châteaux et des Fortifications du MOYEN ÂGE en FRANCE;SALCH Charles-Laurent;1979;1;;Arts;Châteaux-forts;"« Le dictionnaire illustré des fortifications du Moyen Âge en France est une encyclopédie alphabétique de tous les sites fortifiés entre le Xe et le XVe siècle, regroupant 30 000 notices. 
Sont répertoriés :
- tous les châteaux-forts (forteresses, maisons-fortes, manoirs, sites, mottes ou terrassements, enceintes, etc.).
- tous les établissements religieux fortifiés (églises, abbayes, chapelles-donjons, prieurés, commanderies, etc.).
- toutes les fortifications économiques (moulins, ponts, routes, ports, phares). »";
Livre;930 14 Inv;Empruntable;Autre;INVENTAIRE DES MÉGALITHES POLISSOIRS ET HYPOGÉE EN FRANCE;Collectif;2000;1;;Géographie et Histoire;Archéologie Néolithique;Inventaire réalisé par la Commission française pour la protection du patrimoine historique et rural (CFPPHR) dans les départements : Aisne, Aube, Eure, Eure, Eure-et-Loir, Gironde, Hérault, Indre, Loiret, Marne, Haute-Marne, Oise, Seine-et-Marne, Yvelines, Deux-Sèvres, Vendée, Yonne, Essonne, Hauts-de-Seine, Val-de-Marne, Val-d'Oise.;
Livre;690 441 Bat;Empruntable;Autre;le bâti ancien en Vendée;Collectif;1984;1;;Technologie et Sciences appliquées;Bâtiments, Nord-ouest de la France: Bretagne, Anjou, Maine;Les auteurs « ont étudié les immeubles typiques de l'habitat traditionnel vendéen ayant subi peu de modifications dans leur structure depuis leur construction. Ils présentent ces immeubles dans toute leur complexité et analysent les possibilités de réhabilitation. Ils essaient de mettre en évidence les composants de ce bâti et de découvrir leur logique constructive soit par des éléments architecturaux caractéristiques, soit par une technique propre à cette construction. Dans la deuxième partie, sont présentées les techniques pratiquées pour moderniser le logement (pièce d'hygiène, isolation thermique et renouvellement d'air, chauffage électrique…). »;
Livre;944 6 Rep;Empruntable;Autre;Répertoire des Inventaires FASCICULE N° 9 Poitou-Charentes;Collectif;1985;1;;Géographie et Histoire;Histoire Ouest de la France;"Inventaire des monuments et des richesses artistiques de la France par le Secrétariat d'Etat à la Culture. 
Fascicule numéro 9  : Charente, Charente-Maritime, Deux-Sèvres, Vienne.";
